time,gFx,gFy,gFz,TgF
0.0160,0.3327,-0.0340,0.9448,1.002
0.0170,0.3340,-0.0442,0.9362,0.995
0.0170,0.3149,-0.0435,0.9267,0.980
0.0300,0.3061,-0.0369,0.9208,0.971
0.0380,0.2941,-0.0354,0.9306,0.977
0.0470,0.3071,-0.0403,0.9431,0.993
0.0590,0.3147,-0.0352,0.9558,1.007
0.0640,0.3235,-0.0384,0.9682,1.022
0.0740,0.3203,-0.0435,0.9665,1.019
0.0850,0.3291,-0.0381,0.9548,1.011
0.0990,0.3215,-0.0371,0.9453,0.999
0.1070,0.3220,-0.0364,0.9406,0.995
0.1140,0.3183,-0.0303,0.9362,0.989
0.1240,0.3161,-0.0349,0.9411,0.993
0.1350,0.3144,-0.0398,0.9362,0.988
0.1450,0.3103,-0.0432,0.9492,1.000
0.1570,0.3137,-0.0386,0.9585,1.009
0.1650,0.3152,-0.0469,0.9785,1.029
0.1750,0.3232,-0.0445,0.9946,1.047
0.1850,0.3313,-0.0457,0.9873,1.042
0.2010,0.3198,-0.0435,0.9756,1.028
0.2080,0.3156,-0.0398,0.9541,1.006
0.2150,0.3059,-0.0391,0.9377,0.987
0.2250,0.3078,-0.0379,0.9196,0.971
0.2360,0.3095,-0.0403,0.9081,0.960
0.2460,0.3042,-0.0357,0.9050,0.955
0.2580,0.2983,-0.0342,0.9169,0.965
0.2650,0.3071,-0.0330,0.9340,0.984
0.2750,0.3059,-0.0371,0.9514,1.000
0.2860,0.3051,-0.0401,0.9634,1.011
0.3010,0.3042,-0.0393,0.9712,1.018
0.3080,0.3064,-0.0320,0.9665,1.014
0.3150,0.3017,-0.0332,0.9616,1.008
0.3260,0.3029,-0.0357,0.9428,0.991
0.3360,0.3081,-0.0347,0.9230,0.974
0.3460,0.3105,-0.0310,0.9099,0.962
0.3580,0.2971,-0.0362,0.8996,0.948
0.3660,0.2946,-0.0342,0.9047,0.952
0.3760,0.3034,-0.0286,0.9238,0.973
0.3860,0.3042,-0.0325,0.9436,0.992
0.4010,0.3176,-0.0371,0.9612,1.013
0.4080,0.3112,-0.0398,0.9753,1.025
0.4160,0.3152,-0.0428,0.9646,1.016
0.4270,0.3137,-0.0418,0.9509,1.002
